month,西安,兰州,西宁,银川,乌鲁木齐,拉萨,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,巴音郭楞州,吐鲁番地区,哈密地区,昌吉州,博尔塔拉蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,庆阳,陇南,甘南州,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,吴忠,中卫,固原,昌都,山南,日喀则,阿里地区,林芝,兰州新区,西咸新区
23-Feb,145.7,82.7,69,78.7,144,39.3,150.6,112,79.3,133.3,141.4,67.2,85.9,79.1,73.2,125.7,123.1,87.3,181.3,78.8,104,90.3,125.4,190.7,99.5,33.8,28.3,178.2,184.1,85.5,66.4,70.7,77.1,71.5,74.7,80.5,69.7,85.7,81.7,52.4,55.3,71,40.7,55.3,46.3,42.9,30.3,39.9,80.3,83.3,68.1,30.4,42.3,36.7,28.3,29.5,77.3,145.4
23-Mar,97.8,107.4,96.7,102.2,80.3,31.9,101,92,90,93.5,100.8,107.7,104.8,123,45,172.3,116.5,94.2,88.1,59.6,205,169.6,211.9,229.8,53.1,31.2,28.9,80.4,93.2,61.1,109.7,55.2,72.4,103.5,66.7,139.9,116.4,87.8,82.7,54.2,70.8,102.1,63.5,71,65.4,42.3,25.8,43.1,104.5,112.5,87.1,27.4,32.5,33.7,28.5,28.9,119.5,99.2
23-Apr,112.6,109.3,95.3,100.9,67.5,41.3,116.4,104,99.8,103.5,114.4,117.2,116.1,119.9,41.4,215.1,168.5,98.8,69.6,64.2,289,197.1,219.5,298.8,51.8,37.2,31.6,64.4,66.8,66.2,111,60.1,88.4,111,81.5,126.8,127,100.1,97,66,81.1,104.4,88.6,86.2,101.9,47.8,32.9,91.1,112.7,144.9,100.1,30.6,38,38.6,34.3,33.2,114.3,113
23-May,48.5,70.8,57,61.9,46,41.1,50.7,45.4,47.8,46.8,50,78.5,85.9,74.3,33.1,65.4,74.5,62.8,46.3,46.2,82.9,116,133.9,198.2,44.9,35.9,30.4,43.7,50.7,42.6,61.5,40.5,41.3,69,44.7,82.1,95.3,54.7,47,46.1,45.7,63.9,44.4,44.8,46,37.1,31.9,43.7,61.9,75.8,53.4,32.4,36.3,37.7,38.6,31.2,78.1,49
23-Jun,49.5,53.8,40.7,52.8,48.7,39,54.3,48.4,43,40.9,49,68.5,58.3,54.3,36.4,60.6,65.7,46.2,47.1,41.3,68.2,65.4,78.2,199.1,49.3,36.2,37.8,46.7,54.7,40,48.9,36.8,40.7,51.9,41.3,72.9,60.4,47,45.2,39.9,39.9,43.5,36.4,34.6,40.2,38.2,29.2,39.4,52.1,71,44.4,28.6,32.5,35.5,39.5,24.8,59.5,54.6
23-Jul,53,51.3,41.7,53.1,45.5,26.8,53.5,47.2,41.6,45.6,52,69.7,65.8,56.1,35.1,65.3,64.7,57.5,46.5,39.4,63,75.6,86.5,184.3,47.3,33.1,32.9,44,52.6,35.5,45.1,33.5,38.9,45.6,37.1,68.8,53.9,45.5,45.5,34.9,39.5,42.3,36.3,35.5,35.2,34.1,25.4,43.1,59,60.7,38.7,19.7,22.7,25.9,32.7,14.4,52.1,53.3
23-Aug,47.9,51.1,42.7,49.8,43.8,23.8,47.1,42.2,39.1,41.5,44.4,55.8,61.1,52.7,32.8,61.6,58.1,61.5,46.4,35,67.1,84.9,99.5,226.2,45.3,37.5,33.9,43.2,50.7,32.7,48.2,32.6,38.7,51.4,34.8,56.3,55.9,43.3,39.2,32,36.8,46.1,38.4,33.4,32.4,30.1,20.8,40.5,50.8,57.2,38.2,18.3,20.2,22.7,33.2,13.5,54.8,45.8
23-Sep,43.7,48.6,40.6,55.1,42.4,25.9,46.7,42.2,38.8,43.6,43.7,59.4,58.9,55.3,28.6,64.9,61.6,55.8,43.8,37.4,80.7,78,97.2,187.9,40.7,37.2,34.9,40.4,45.3,30,44.4,28.2,32.7,43,32.5,55.1,61.1,44.1,40.2,32.6,32.3,43.1,35.7,31.3,39.3,31.5,21.8,39.9,53.8,55.3,33.5,18.7,24.5,25.7,32.2,17,48.8,43.9
23-Oct,53.5,50.9,38.9,58.6,56,25.3,61.1,49.2,42.6,43.1,63.5,48.8,48.7,60.9,35.4,89.5,68.1,60.6,57.3,49,82,65.7,92.7,115.1,52.7,26.3,33.6,57.8,64.8,36.7,49.9,36.6,37.4,41.9,38.2,48.4,51.7,41.5,43.1,35.9,35.2,40.5,28.1,33.3,35.9,31.3,21.8,29.7,53.9,51.4,33.4,20,24.1,26.3,27.3,19.4,45.8,58.7
23-Nov,84.4,80,63,68.8,58.3,29.7,99.6,71.8,61,75.2,83.2,77.7,65.8,77.3,34.4,135.5,100.4,85.1,59.1,46.5,161.5,103.3,142.9,132,58.3,31.8,23.6,60.3,60.7,63.5,61,52.3,54.4,76.1,64.2,84.7,73,66.7,65.7,56.9,56.3,63.3,38.8,47.8,41.6,34.2,24.5,52.9,70.7,82.5,63.3,28.2,29,34.2,23,20,73.9,94.7
