month,沈阳,大连,长春,哈尔滨,鞍山,抚顺,本溪,锦州,吉林,齐齐哈尔,牡丹江,大庆,营口,丹东,盘锦,葫芦岛,阜新,辽阳,铁岭,朝阳,四平,辽源,通化,白山,松原,白城,延边朝鲜族自治州,鸡西,鹤岗,双鸭山,伊春,佳木斯,七台河,黑河,绥化,大兴安岭地区
Oct-22,53.4,39.6,43.7,48.9,56.9,52.7,49.8,53.5,41.1,46.1,41,35,53.1,38,36.7,57.2,57,54.6,49.4,49.4,44.9,45.3,33,57.7,40.8,44.1,30.3,54.3,38.3,43.9,28.6,38.1,46.5,27.4,38.6,22.9
Nov-22,66.9,58.7,55.6,75.9,64.7,66.5,61.9,68,55.3,51.6,50.5,56.4,68.3,52.7,61.5,72.4,76.5,59.3,63.6,67.1,55.9,51.8,40.6,69.4,56.4,55,37.3,65.7,49.4,54.3,47.4,50.2,56.9,22.6,67.6,21
Dec-22,64.9,50.3,57.7,69.2,64.6,76.4,73.3,78.2,56.3,34.4,51.2,36.8,68.9,59.1,62.3,73.4,68.9,61.1,67.7,68.3,61.7,58.2,50.2,82.9,48.4,42,34.8,51.4,40.5,40.7,45,40.5,53.3,18.2,61.4,19.6
Jan-23,77,72.5,65.7,95.3,87.2,84.7,85.5,93.2,70.6,67.7,69.5,66.9,86.6,70.4,74.2,93.4,87.5,73.8,81.4,89.4,68.8,68.8,76.3,85,70.6,52.2,51.2,78.9,53.5,60.5,52.5,62.9,71.7,44.6,92.2,39.8
Feb-23,82.7,70.7,77.1,90.3,91.4,84.3,80.3,80.9,64.1,52.1,52.6,60.5,82.9,65.4,62,80.7,81.8,78.7,90,70.2,87.5,65.3,50.4,70.5,68.9,49.6,39.9,62.4,53.4,57.4,49.9,56.2,63.8,36.3,88.1,28.8
Mar-23,106.2,87.5,117.7,115.1,111.8,108.9,100.5,134.1,99.8,78.7,75,81,108.9,88.1,105.4,135.4,131.4,96,118.8,137.4,122.9,86.3,62.4,93.5,101.7,102.2,56.4,81.7,67.1,75.3,62.3,67.3,81.5,34.7,89.9,19.5
Apr-23,128.3,96.8,142.1,122.3,126.9,131,120.9,120.9,147.2,89.3,97.9,95.9,122,88.3,108.5,117.2,122,124.2,131.2,119.1,128.7,100.4,71.2,105.2,134.3,131.2,89.5,111.3,58.5,86.2,49,71.9,92.8,25.8,109.4,29.4
May-23,66,61.7,72,68.8,67,62.4,61.4,66.4,56.5,60.6,38.1,67.6,64.7,41.1,61.8,69.3,88.5,65.1,65.1,71.5,63.6,44.1,37.2,57.9,80.7,77.3,34.3,55.7,38,40.7,37.5,38.8,43.5,25.2,58.7,18.2
Jun-23,37.4,32.9,34.3,33.6,46,38.1,44.3,42.8,34.1,27.4,22.7,25.4,34.1,28.3,30.5,39.8,40.4,41.2,39.7,38.7,35,27.1,22.9,38.9,25.5,27.1,23.5,28.4,20,22.8,17.1,23.3,23.2,17.9,22,12.9
Jul-23,35.9,26.9,26.8,31.9,38.1,35,39.3,39.7,23.6,30.6,17.4,23.9,29.7,25.2,28.9,37.2,41.3,39.6,35.9,40,27.2,22.3,25.2,40.3,22,21,19.3,26.2,16.8,21.3,16,25.5,21.8,37.9,19.9,26.9
