month,广州,深圳,珠海,佛山,中山,江门,东莞,惠州,肇庆,南宁,海口,桂林,北海,柳州,三亚,韶关,汕头,湛江,茂名,梅州,汕尾,河源,阳江,清远,潮州,揭阳,云浮,梧州,防城港,钦州,贵港,玉林,百色,贺州,河池,来宾,崇左,儋州
Sep-22,96.6,106.2,119.1,103.7,120.2,117.5,111.4,101.5,100.7,73.9,80.4,120.4,89.1,97.3,59.5,98.6,110.9,95.8,90.8,84.3,109.3,90.4,89.2,94.9,102.2,100.4,80.4,75.5,71.6,76.7,92.4,77.2,57.5,95.4,66,91.1,59.9,65.7
Oct-22,91.3,88.8,96.8,94.6,99.4,102.3,94.6,91.4,98.3,74.5,97.7,104.2,97.5,86.1,74,87.3,84.6,98.2,94.2,77.2,86.7,91.2,92.2,96,83.2,78.4,85,75.2,82,84.1,95.3,89.1,56.8,88.6,64.5,90.8,58.7,78.6
Nov-22,44.4,52.6,55,44.7,43.9,46.1,51.4,55.5,53.2,50,69.2,56.7,68,50.6,52.3,42.8,72.6,76.2,66.7,37.2,67.4,41.4,53.3,44.7,62.8,62.9,42.1,43.5,53,55,55.9,52.1,40.8,44.5,42.6,53.6,45.6,51.8
Dec-22,48.1,47.8,48.3,43.6,42.4,46.5,47.3,51.2,51.8,53.4,79.3,64.2,70.9,55.2,85.3,46.9,52,71.2,65.8,30.2,57.7,48.9,53.5,52.7,46.3,42.9,42.1,45.2,60.3,62.5,63.3,55.4,44.8,50.1,48.7,58.5,57.2,77.4
Jan-23,49.8,55.1,56.6,47.6,48.6,53.1,53.9,55.8,50.9,53.3,68.3,65.6,61.8,55.2,68.7,46.9,61.9,61.7,58.3,36.9,62.8,53.3,54.5,50.6,50,51,41.7,45.8,55.1,59.8,58.2,53.9,49.9,51.1,54.2,57.2,55,64.8
Feb-23,55.3,73,78.4,58,69.9,70.6,69.7,70.6,59.4,48.3,72.2,54.7,71.5,46.1,68.1,43.5,75.4,82.7,79.3,50.1,75.5,57.5,73.1,49.9,61.8,63.2,52.9,40.6,45.3,50,47.2,50.5,46.5,48.5,41.2,52.4,54,68.8
Mar-23,62.2,77.6,79.9,67.1,74.1,74.6,72.4,78.6,70.1,63.8,74.8,59.8,74.7,55,69.9,64.9,85.9,76.2,76,67.7,90.2,70.9,68.8,63.7,78.1,74.9,58.5,49.2,61.9,63.1,66.7,69.7,64.4,61.5,48.9,64.4,70.2,78.9
Apr-23,56.4,71.8,80.1,55,70.1,67.2,69.7,75.9,54.9,56.5,60.2,63,63.9,58.8,58.4,53.3,92.4,70.9,70.1,65.5,87.2,68.5,63.5,47.3,78.3,76.7,47.9,42.4,48.3,53.3,50.2,51.4,79.7,59.2,65.9,60.7,58.2,68
May-23,64.3,69.5,76.3,63.7,71.9,67.7,74.9,72.6,66.8,67.3,60.9,66,71.4,61.5,59.9,67.4,94.3,69,67.8,63.3,80.1,63.5,62.4,66.9,85.1,80.7,56.7,48.7,61.4,66.7,63.3,63.1,75.9,57.6,60,66.7,73.7,68.3
Jun-23,57.8,45.2,59.6,57.2,61.6,57.1,62.5,53.3,59.9,61.3,50.3,64.5,64.5,61.2,54.4,64.9,57.1,59.5,58.9,44.4,56.7,46.8,50.7,60.8,53.3,47.8,48.8,54.5,50.7,55,61.4,54.2,75,59.5,61.9,64.6,57.9,50.2
Jul-23,58.7,39.4,54.1,54.4,57,53.2,57.6,49.4,52.4,61.7,45.6,63.5,59.4,66.7,42.3,66.1,51.7,53.1,53.9,43.9,48.5,51.1,47.2,63,52.1,45.5,44.8,47.8,50.4,58,62.5,54.5,69.9,55.1,61.7,64.4,56.8,42.2
Aug-23,57.8,38.9,52.4,56.7,53.4,54.7,57.8,52.5,57.5,52.7,47.7,64.2,52.3,56.3,44.7,65,63.1,48,51.6,54.4,54.7,54.5,47,64.8,60.5,52.6,40.6,46.3,43.8,47.6,50.9,43,52.3,55,47.3,54.5,52.2,41.6
Sep-23,52.4,48.9,59.8,54.5,56.7,58.4,53.1,56.3,60.2,50.8,48.3,66.7,60.4,57.6,45.6,48.6,65.1,57.3,57.1,45.9,62.4,45.5,47.5,55.1,61.7,56.7,50.5,47.9,50.5,52.9,62.5,50,47.7,51.8,42.2,59.2,47.4,42.1
Oct-23,63.6,71,82.8,67.1,74.4,73.4,69.9,67.3,69.1,61.8,84.1,75.2,71,64.1,59.4,60.2,93.9,78.4,73.7,46.7,81.9,53.9,68.3,65.2,78.4,74.3,55.8,51.2,65.7,65.2,65.7,62.4,54.5,57.1,55.2,70.3,61.5,66.3
Nov-23,59.9,74.7,81.9,64,70.4,72.1,68.5,70.4,66,52.8,94.1,54.1,81.3,51.3,70.9,49.4,89.5,88.4,81.3,46.9,88.5,53.9,70.1,70.5,76.1,74.3,54.2,43.5,58.4,58.4,59.3,56.6,45.3,49.9,41.7,58.9,55.3,71.9
Dec-23,40.7,54,53,39.6,44.9,46.7,48.4,52.6,44.9,48.3,76.9,48.6,64.3,48.7,69.8,38.2,64.2,69.4,59.6,30.6,73.4,43.1,50.5,44,55.7,54.4,35,34.5,52.1,52.1,48,48.5,38.9,42.7,43.8,54.5,48.3,63.7
Jan-24,52.1,67.9,65,51.4,56.7,59.2,64.7,68.7,54.1,43.1,81.4,45.2,70.4,41.8,81.7,44.4,79,83.4,72.5,43.5,87,53.8,64.2,54.9,66.6,65.9,46.3,40.7,49.7,48.4,44.8,47.2,37.8,45.2,33.4,40.6,42.2,69.6
Feb-24,40.6,51.9,43.7,40.1,41,43.1,46.4,55.4,41.9,44.6,55.2,48.7,48.5,43.6,57.8,38.5,60.9,49.3,48,40.6,64.8,45.1,44.1,39.4,53.3,53.9,34.6,31.2,39,41.6,37.6,39,45.5,44,51.1,46.6,43.8,53.5
Mar-24,46.5,66.3,65.7,42.7,57.3,52.7,57.6,68.3,43.3,54.6,65,56.7,61.2,56.3,60.6,51,78.2,66.1,60.3,53.3,78.9,55.2,55.5,45.9,72.7,65.3,43,38.8,48.9,47.3,49.5,46.9,59.2,51.9,54.4,61.7,52.9,64.7
Apr-24,43.3,47.6,54.9,42.2,49.6,48.6,49.9,60.3,47.6,60.8,60.7,60.3,60.2,63.9,46.5,50.9,74.5,57.9,52.3,53.1,70.2,53.2,54.9,52.9,68.4,61,45.1,39.7,54.4,53.1,54.4,49,75.4,50.2,62.4,64.8,74.1,75.8
May-24,67.2,77.8,80,71.1,73.2,76.8,77.4,80.9,73,63.7,68.2,69.3,76.7,61,54,64.4,90.8,77.6,70,62.2,92.3,61.8,67.5,69.6,81.7,81.1,61.1,54.5,64.3,64,64.4,59.7,62.7,66,48.6,63.5,64,60.7
