month,西安,兰州,西宁,银川,乌鲁木齐,拉萨,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,巴音郭楞州,吐鲁番地区,哈密地区,昌吉州,博尔塔拉蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,庆阳,陇南,甘南州,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,吴忠,中卫,固原,昌都,山南,日喀则,那曲地区,阿里地区,林芝,兰州新区,西咸新区
Jan-22,117.4,103.8,79,122.8,134.5,23.1,121.5,98.3,69.4,116.3,135.5,80.9,63.5,118.6,135.8,120.5,253,116.9,192.6,128.4,127.2,106,181.5,139.1,122,43.2,15.1,219,279.3,82.6,64.1,67.8,57.4,78.4,89.3,98.2,73.1,85.7,79.9,56.3,49.8,,36,50.8,36.5,35.3,22.4,24.9,119.8,103.2,64.9,15.5,19.8,24.6,31.8,10.5,10.7,82.9,109
Feb-22,109.7,73.7,62.8,65.9,175.2,21.9,113.2,78.9,64,92.2,114.5,55.4,65,78.8,111.8,204.5,161.2,96.6,204.4,86.8,228.9,243.8,297.9,431.7,78.9,49.4,22.2,216.6,266.5,61.5,52.6,57.5,58.3,59.1,69.2,64,55.9,79.4,70.9,48.8,47.8,55.7,40.9,53.3,38.2,45,22.7,27.2,69.5,71.9,53.7,15.4,20.1,21.3,29.2,11.9,12.3,60.7,103
Mar-22,179.6,136.2,113.5,120.8,50.3,26.9,179.8,143.4,141.7,131.6,179.7,137.6,136,139.4,30.8,206.7,156.3,92.8,46.3,45.2,263.5,314.1,407.8,944.2,41.1,24.8,15.1,53.4,55.4,84,135.5,77,88.4,138.4,92.9,160.8,126.3,126.5,132.6,74.5,86.1,127.5,76.4,109.3,105.3,55.1,40.5,58.9,147.9,168.4,116.2,22.1,25.4,29.8,51,16.7,17.5,139.7,173.7
Apr-22,103.5,125,92.1,105.3,84.8,28.7,112,80.7,93.7,80.8,102.4,126.6,106.7,125.9,53.7,211.2,160.5,100,76.2,104.2,307.1,220.5,260.2,395.3,70.8,52.6,33.6,93,84.9,52,96.1,50.2,59.6,132.1,69.6,157.7,107,90.2,89.6,61.8,68.5,108.6,59.5,79.6,72,52.6,26.8,60.5,130.8,145,95.1,15.8,30.1,32,39.9,20.2,10.3,140.6,107.8
May-22,70.3,72.7,52.6,76.2,77.7,17.7,77.4,55,48.9,47.4,77.9,180.4,201,84.8,45.5,112.6,155.5,147.9,66.1,53.5,123,89.8,112.6,483.4,45.7,35.9,52,68.3,78.5,43.6,63.7,43.6,48,80.7,39.1,196.7,148.4,46.2,47.2,38,32.1,62,34.5,33.2,36.5,42,17.3,51.4,95.3,89.9,52.6,12.4,18,16.4,23.2,22.4,9.4,114,73.5
Jun-22,48.9,49.4,36,56.7,38.4,14.6,58.1,48.4,49.2,38.9,54.3,56,51.2,75.4,25.3,67.1,80.4,64.3,33.2,29.6,60.7,54.1,74.7,274.9,37.1,32.2,33.4,33.2,43.6,41.4,51.2,36.3,39.9,45.1,35,74.6,44.2,32.7,42.3,32,26.5,45.5,23.5,27.1,25.9,21.8,9.2,24.5,56.5,72.2,35.6,9.1,16.2,15.5,15.9,22.4,6.5,61.7,58.8
Jul-22,46.3,45.5,42.7,47.9,44.5,16,47.8,38.1,38.3,38.6,42.2,67,62.1,54.1,24.6,138.1,78.9,71.1,42.7,32.7,141.9,264.3,321.8,834.1,40.9,34.5,24.4,35.3,53.8,30.7,36.9,27.7,31.7,46.7,31.4,93.3,49.6,36.4,34.8,32.6,24.6,48,30.1,32.3,31.7,27.3,16,36.1,55.7,70.2,32.5,14.4,19.6,14.7,23,15.2,10.3,49.2,45.8
Aug-22,47.9,41,35.1,40.5,30.9,8.3,51.3,43.7,40.7,40.3,45,44.6,57.4,44.9,24.4,66,52.8,44,33.5,30.7,75.4,81.6,76.5,321.6,29.7,36.2,37.9,28.4,38.2,31.2,39.1,28.4,32.9,39.7,32.3,60.1,43.8,42.3,37.1,31.5,18.2,35.2,24.1,24.3,24.4,18.4,8,37,42,46.9,33.7,9.8,10.2,6,11.8,4.7,6.4,47.7,56.9
Sep-22,67.9,55.1,36.2,51.5,56.3,4.2,75.3,53.6,41.6,46,72.7,61.2,66.6,61.4,35.2,104.1,74.3,83.7,58.5,47.3,120.1,118.4,183,264.7,46.7,28,55.9,42.7,72.5,41.4,47,39.8,36.5,42.1,38.7,75.5,53.5,49.6,43.1,32.3,19.9,36,18.6,26,27.1,33.7,7.4,21.7,49,50,36.1,8.6,6.4,5.1,6.3,5.1,4.3,61,65.9
Oct-22,81.2,69.6,54.1,62.4,51.6,6.5,96.5,67.3,50.4,72.1,79.3,83.5,73.7,80,29.7,146.2,99.2,90.4,52.1,59.1,151.8,178.8,211.7,314.8,56.8,30.7,28.1,49.8,59.9,43.5,45.5,39.8,40.5,60.9,52.4,88.9,75.5,70.4,57.7,43.4,26.8,57.5,29.6,39.8,33.2,16.7,10.9,27,74,77.6,53.5,12.4,14.4,10.7,15.5,8.1,7.3,83.1,97.7
