month,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台,太原,呼和浩特,包头,鄂尔多斯,大同,长治,临汾,阳泉,赤峰,乌海,通辽,呼伦贝尔,巴彦淖尔,乌兰察布,兴安盟,锡林郭勒盟,阿拉善盟,晋城,朔州,晋中,运城,忻州,吕梁,雄安新区
24-Sep,33.9,43.6,57.5,45.2,35.5,52.3,49.8,28.3,32.1,44.7,44.4,49.1,55.7,47.9,33,33.5,37.5,32.2,43.4,51.4,55.5,28.8,49.4,36.2,30,53.7,32.3,30.3,23.1,36.6,50.8,41.3,48,47.9,48,48.3,51.7
24-Oct,63.2,76.4,92.5,68.5,54.7,95.8,92.2,41.7,48.8,82.7,86.9,86.2,95.1,64.1,44.5,42.7,45.2,49.3,66.9,66.9,74.2,41.6,60.1,44.6,30.6,59.1,40.7,36.7,28.1,37.2,79,56.4,64.8,71.9,63.4,58.2,92.3
24-Nov,64.5,59.9,88,59.3,50.9,78.7,87.5,50.6,55.8,71.6,65.9,68.2,81.2,81,59.6,59.8,53.4,58.1,68,82.3,82.4,47.9,74.4,56.4,29.3,71,46.1,49.6,28.2,39.5,64.3,67.6,78.5,76.7,79,72.7,81.2
24-Dec,36.8,54.5,59.3,53.5,45.2,77.9,66.4,31,46,51.2,68.2,71.6,71.9,67.5,53.2,57.5,47,55.2,61.9,75.5,60.7,32.7,61.1,45.3,30.9,62.6,38.5,35.7,24.5,35.4,62.1,66.3,70,93.8,61.4,70.7,70.7
25-Jan,49.1,70.4,75,64.3,54.3,80.2,82.4,41.4,54.1,70.1,79.2,79.8,77.6,82.5,72.5,78,56.3,68.2,70.1,85.8,68.3,49.1,77.4,65,38.1,79.9,48.8,62.5,26.5,46.8,84.1,78.4,78.1,108.2,84.5,78.6,82.9
25-Feb,46.4,67.5,73.2,63.3,60.9,75.2,71.8,38.4,45.1,63.2,69.4,71.2,82.6,71.1,49.8,51.4,51.4,51.7,67.2,74.5,68.7,38.7,62.9,55.5,32.3,57.3,40.2,39.9,31.9,46.4,69.7,62,74.3,86.1,63.1,65.7,74.9
25-Mar,70.1,74.8,87.9,74,64.1,86.2,81.2,54.9,56.2,75.2,77.8,77.7,90.7,107.4,72,77.7,94.5,72.3,76.8,102.5,95.2,54.2,126,75.9,36,100.9,56.6,64.8,43.9,106.1,85.9,79.1,111,88.4,83.6,122,84.2
25-Apr,56.1,65.8,77.3,66.1,56.1,75.4,72.8,43.6,47.4,68.7,68.1,72,79.1,83.8,52.9,64,88,62.3,70.9,92.4,78,40.8,104.3,62.8,37.7,91.4,47.3,46.8,36.8,103,82,78.3,83.8,93.3,71.6,90.5,77.3
25-May,57.6,64,67.8,66,57.7,65.6,68.5,44.9,45.9,67.5,61.6,67.6,70.3,68.9,48.3,57.1,66.8,53,64.9,76.2,64.7,42.5,85.9,57.2,50.8,72.6,47,50.3,38,89.1,74.2,63.2,67.5,79.9,56.1,74.2,73.4
25-Jun,53.5,59.7,63.8,62.6,50.8,64.3,64,39.9,43.4,64.1,61.9,66.3,64.1,55.5,38,40,43.1,42,54.6,60.4,56.4,36.5,49.8,40,34.7,42.6,38.3,33.3,32.5,44.5,59.2,50.9,55.4,51.8,47.9,57,71.1
25-Jul,37,43.5,45.3,45.4,38.9,46.1,40.9,32.6,34.3,46.2,40.6,44.5,46.2,43,33.5,35.6,38.1,33.8,41.6,50.3,45.5,28.7,44.9,34.8,26.1,40.7,34.9,30.6,30.3,42.3,45.3,42.4,40.6,39.1,38.2,46.6,45.1
25-Aug,32.7,39.7,42,40.9,37.9,41.8,39.4,32.7,32.8,42,40.1,39.5,43.4,43.2,36.2,38.2,38,38.4,38.6,47.4,42.5,27.2,49.6,33.5,24.3,42.3,36.5,24.3,25.4,42.5,39.5,44.4,41.8,36.1,36.5,43.4,41.8
25-Sep,38.6,52.7,49.3,54.5,49.2,46.5,53.5,32.6,35.3,51.5,51.6,49.8,48.7,49.8,40.7,41.3,43,42.6,38.2,51.4,49.5,31.7,53.8,42.1,26.8,49.3,38.3,32,29.2,45.6,38,51.7,49.3,34.8,45.7,46.7,57.5
25-Oct,49.7,58.5,68,51.4,48.9,65.5,69.3,34.3,41.6,63.4,56.1,58.7,62.1,55,40,40.3,38.6,42.5,43.2,56.5,53.4,36.9,52.7,47.5,26.8,53,37.4,34,26,41.6,49.9,52.5,53.2,44.6,48.7,47.4,67.5
25-Nov,58.5,80,79.6,70.4,63.4,90.3,88.7,45.1,50,80.1,85.9,90.8,81.7,80,64.8,71.2,63.4,70.5,64.8,97.1,80,40.5,85.7,55.5,25.4,77.6,51.8,42.1,28.1,62.3,75.2,75.2,86.4,94.8,67.3,82.6,94.4
