month,北京,天津,石家庄,唐山,秦皇岛,邯郸,保定,张家口,承德,廊坊,沧州,衡水,邢台,太原,呼和浩特,包头,鄂尔多斯,大同,长治,临汾,阳泉,赤峰,乌海,通辽,呼伦贝尔,巴彦淖尔,乌兰察布,兴安盟,锡林郭勒盟,阿拉善盟,晋城,朔州,晋中,运城,忻州,吕梁,雄安新区
2022-08,19.3,22.2,28.1,21.2,15.8,27.4,20.5,11.1,16.4,22.0,21.4,23.8,28.7,27.1,15.1,16.0,15.2,15.6,23.9,27.7,23.1,10.8,19.5,17.0,14.0,23.8,15.3,13.8,4.9,20.3,22.3,20.0,28.5,25.0,23.8,19.6,26.5
2022-09,30.0,28.8,35.2,31.9,23.6,37.0,35.3,13.2,20.7,35.6,26.5,28.9,33.8,31.9,20.2,21.3,17.2,20.9,33.0,38.9,30.8,13.1,23.2,23.1,15.6,26.5,17.0,15.8,6.5,18.5,31.3,25.7,32.3,42.5,24.1,19.4,30.8
2022-10,40.3,40.1,47.0,40.1,33.4,49.9,52.1,20.1,29.2,42.6,39.9,41.2,46.4,51.4,27.5,26.4,19.3,26.0,39.3,54.7,41.1,20.4,25.5,29.4,15.9,34.9,23.0,21.0,8.4,24.3,38.1,30.7,47.6,50.3,37.8,23.9,43.6
2022-11,44.9,59.8,68.9,52.7,37.4,80.4,68.7,22.9,35.5,55.1,70.0,73.6,80.2,62.8,24.8,32.2,24.1,30.8,52.3,70.2,60.1,22.4,33.6,35.4,17.2,33.7,24.8,32.1,8.0,25.5,45.3,42.0,63.2,73.7,51.7,27.8,58.2
2022-12,21.2,39.6,47.7,35.2,22.6,70.3,48.9,16.6,26.3,29.7,61.7,66.6,60.2,37.4,31.0,33.0,17.9,30.4,41.9,60.1,36.4,17.8,31.3,27.9,21.0,31.6,22.5,24.5,7.2,26.9,43.2,31.1,39.2,81.0,38.4,24.6,46.2
2023-01,31.5,59.2,60.8,51.4,39.2,79.5,53.3,27.7,37.9,46.5,69.2,79.7,69.5,56.4,53.2,45.1,30.2,41.7,55.1,89.0,50.4,31.0,46.3,35.8,24.3,41.5,38.0,34.8,16.0,37.9,57.3,51.2,54.2,106.9,59.2,40.0,52.9
2023-02,54.1,62.0,83.0,60.9,49.2,75.6,76.2,30.4,43.9,63.0,61.6,64.3,82.5,78.4,36.0,37.2,29.6,38.1,71.8,89.2,76.3,27.6,41.8,33.3,25.6,35.4,29.3,26.9,10.8,33.5,71.1,46.6,73.8,83.3,70.7,39.6,68.1
2023-03,59.8,66.0,63.3,69.3,55.4,63.8,69.1,31.4,40.6,65.8,54.1,56.1,66.0,56.2,43.5,43.4,34.2,38.0,48.1,53.9,54.3,34.1,44.7,44.2,19.9,40.1,28.3,31.6,19.0,34.3,45.8,47.5,49.9,56.1,44.9,31.3,62.2
2023-04,42.8,43.1,51.0,43.0,33.8,51.1,50.2,32.2,34.4,46.9,41.2,42.2,52.7,52.1,43.4,45.0,42.7,38.1,38.5,50.2,45.4,25.5,50.9,36.6,21.2,47.3,35.3,39.0,18.3,55.7,38.0,44.8,41.2,45.4,39.5,34.5,44.0
2023-05,31.5,33.2,34.0,36.2,29.5,31.5,33.8,22.4,26.1,35.2,30.5,29.0,31.4,35.2,31.1,33.0,28.6,28.6,27.5,36.6,30.4,22.9,30.1,33.2,19.0,32.8,25.2,22.4,17.4,34.9,27.8,33.4,27.1,27.1,26.5,19.0,33.4
2023-06,20.4,23.9,19.9,27.8,18.7,21.6,21.0,14.5,15.5,26.2,22.3,18.5,19.9,25.9,17.6,16.1,13.4,18.9,23.0,32.5,23.7,14.5,16.1,22.2,16.3,19.0,17.0,17.1,10.6,22.1,21.0,22.1,22.8,23.3,19.0,14.2,23.5
2023-07,19.4,24.5,20.0,24.6,14.8,21.8,17.4,15.0,16.8,25.5,21.7,20.4,20.4,23.0,17.1,17.2,15.2,16.9,19.8,27.1,21.8,16.2,22.4,22.9,19.9,20.7,17.0,15.9,9.1,19.3,15.9,19.7,19.2,23.0,22.6,19.9,21.0
2023-08,22.7,24.0,24.9,25.8,15.8,24.3,20.6,13.2,13.8,26.1,22.1,18.7,22.7,26.1,16.3,17.7,19.6,16.4,25.5,27.0,26.3,11.7,20.6,16.0,17.7,23.7,15.9,12.7,5.9,16.3,24.1,21.7,21.4,23.9,25.4,26.1,21.4
2023-09,28.7,34.4,38.4,33.5,23.5,36.2,35.0,14.2,19.1,35.3,34.3,33.4,34.6,33.3,18.7,18.6,18.1,18.6,28.8,35.7,34.8,17.4,24.0,18.7,16.2,20.2,17.4,16.4,7.9,17.0,25.8,22.0,30.1,28.3,30.9,25.7,33.0
2023-10,35.9,49.4,49.1,44.5,34.8,57.9,55.3,15.4,26.9,46.1,56.4,54.5,50.1,43.7,33.2,27.3,16.6,26.9,38.3,60.4,37.0,23.6,23.0,27.6,16.4,26.3,22.1,20.3,7.6,13.9,41.3,28.5,39.9,61.1,32.0,30.2,46.8
2023-11,28.8,42.0,50.1,39.0,32.6,64.1,57.7,15.4,25.0,38.9,57.6,57.5,59.8,40.5,26.6,29.9,17.6,26.3,31.4,44.2,34.9,25.2,26.0,33.8,16.5,27.3,19.6,22.3,8.4,15.5,33.1,26.2,36.2,54.0,30.3,29.5,47.3
2023-12,40.9,60.8,61.3,55.3,41.0,76.5,71.6,25.5,35.3,53.7,75.3,76.9,71.0,65.0,61.7,67.1,32.2,50.1,47.0,71.4,50.8,28.8,40.9,33.6,24.2,43.8,37.7,23.7,11.2,18.2,42.0,49.9,62.2,76.8,69.1,44.6,68.2
2024-01,37.1,49.4,71.2,46.4,41.1,82.5,68.6,25.0,33.7,47.1,66.5,75.9,77.4,62.2,63.8,75.4,28.9,48.9,50.7,67.7,56.1,22.9,40.7,33.3,20.7,46.1,37.2,30.3,8.5,19.0,48.2,43.5,55.4,78.4,67.3,43.8,68.1
2024-02,39.1,58.6,75.5,58.1,44.4,78.1,72.2,27.0,32.9,53.3,60.2,62.9,77.9,71.8,59.5,57.8,41.0,40.8,54.9,88.3,66.3,30.6,53.4,38.4,21.5,41.0,42.0,40.6,13.2,44.2,58.1,55.2,67.6,74.0,68.2,61.3,68.3
